Restaurant_Name,City,Area,Cuisines,Restaurant_Type,Online_Order,Book_Table,Rating,Votes,Cost_For_Two,Value_Score,Price_Category
Restaurant Taste of India,Mumbai,Bandra,"Mexican, North Indian, Pizza",Casual Dining,Yes,No,4.1,893,555,0.7387,Affordable
New Fusion Bites,Mumbai,Colaba,Mexican,Cafe,No,No,3.8,557,543,0.6998,Affordable
Restaurant Chaat Junction,Mumbai,Powai,"North Indian, Street Food, Mughlai",Dessert Parlour,Yes,No,4.0,671,251,1.5936,Budget
Royal Noodle Box,Mumbai,Juhu,Gujarati,Casual Dining,Yes,Yes,4.5,789,412,1.0922,Affordable
New Cloud Kitchen,Mumbai,Powai,"Chinese, North Indian",Cafe,Yes,Yes,3.5,865,461,0.7592,Affordable
Cafe Tiffin Box,Mumbai,Juhu,"Seafood, Chinese, Thai",Fine Dining,Yes,Yes,3.9,1247,1823,0.2139,Premium
The Masala Twist,Mumbai,Andheri,"Chinese, Street Food, Bengali",Fine Dining,No,No,3.9,1089,1853,0.2105,Premium
Cafe Kebab King,Mumbai,Andheri,Biryani,Casual Dining,No,Yes,4.6,1109,935,0.492,Mid-Range
New Kebab King,Mumbai,Bandra,"Fast Food, North Indian, Desserts",Dessert Parlour,No,Yes,2.6,600,464,0.5603,Affordable
The Spice Garden,Mumbai,Andheri,"Pizza, Beverages, Cafe",Bakery,Yes,Yes,3.6,128,470,0.766,Affordable
Burger Barn,Mumbai,Juhu,"Beverages, Seafood",Quick Bites,No,Yes,4.4,576,118,3.7288,Budget
The Sweet Tooth,Mumbai,Bandra,"Desserts, Italian",Delivery,No,No,2.7,63,444,0.6081,Affordable
Restaurant Dhaba Express,Mumbai,Juhu,"Street Food, Desserts",Bakery,Yes,No,3.2,587,249,1.2851,Budget
The The Hungry Tiger,Mumbai,Bandra,Thai,Bakery,No,Yes,2.5,34,309,0.8091,Affordable
Restaurant Grill House,Mumbai,Powai,"Street Food, Fast Food, Mughlai",Fine Dining,Yes,Yes,4.3,491,1745,0.2464,Premium
Cafe Burger Barn,Mumbai,Juhu,"Chinese, Mexican",Food Court,Yes,Yes,4.1,616,138,2.971,Budget
Cafe Biryani House,Mumbai,Andheri,"Seafood, Desserts",Dessert Parlour,Yes,Yes,2.6,149,203,1.2808,Budget
Hotel Dosa Corner,Mumbai,Juhu,"Desserts, Bengali",Bakery,Yes,No,4.0,325,331,1.2085,Affordable
Cafe Spice Garden,Mumbai,Powai,Desserts,Quick Bites,Yes,No,3.8,535,302,1.2583,Affordable
Cafe Curry Leaf,Mumbai,Powai,"Thai, Continental, Fast Food",Bakery,Yes,No,2.8,73,106,2.6415,Budget
Biryani House,Mumbai,Bandra,"Chinese, Mexican, Italian",Food Court,No,Yes,4.5,671,201,2.2388,Budget
Curry Leaf,Mumbai,Andheri,Pizza,Bakery,No,No,3.9,40,354,1.1017,Affordable
The Taste of India,Mumbai,Juhu,"Rajasthani, Biryani",Dessert Parlour,Yes,No,3.0,520,251,1.1952,Budget
Chaat Junction,Mumbai,Colaba,Bengali,Fine Dining,Yes,No,3.8,1827,3726,0.102,Luxury
Food Hub,Mumbai,Powai,"Mexican, Punjabi",Bakery,Yes,Yes,3.8,234,405,0.9383,Affordable
Restaurant Momo Point,Mumbai,Powai,"Continental, Pizza, Fast Food",Food Court,Yes,Yes,3.6,764,505,0.7129,Affordable
Royal Momo Point,Mumbai,Andheri,Pizza,Food Court,Yes,No,3.8,615,283,1.3428,Budget
Fusion Bites,Mumbai,Andheri,"Thai, Street Food",Delivery,Yes,Yes,3.8,234,408,0.9314,Affordable
Hotel Kebab King,Mumbai,Powai,"Pizza, Desserts",Cafe,Yes,Yes,4.3,277,545,0.789,Affordable
New Flavor Town,Mumbai,Colaba,"Street Food, Desserts",Casual Dining,Yes,Yes,4.6,1047,1054,0.4364,Premium
Royal Sweet Tooth,Mumbai,Colaba,Mexican,Food Court,No,No,4.0,511,250,1.6,Budget
Aroma Restaurant,Mumbai,Bandra,Cafe,Quick Bites,Yes,No,3.7,589,427,0.8665,Affordable
The Saffron,Mumbai,Andheri,"Desserts, Pizza",Delivery,Yes,No,4.1,664,443,0.9255,Affordable
Chaat Junction,Mumbai,Powai,"Chinese, Beverages, Italian",Delivery,No,No,2.6,760,324,0.8025,Affordable
The Masala Twist,Mumbai,Bandra,"Seafood, Fast Food, Gujarati",Food Court,No,No,4.0,176,215,1.8605,Budget
Fusion Bites,Mumbai,Colaba,"Fast Food, Chinese",Food Court,Yes,No,2.8,570,138,2.029,Budget
New Aroma Restaurant,Mumbai,Colaba,"North Indian, Bengali, Pizza",Bakery,Yes,No,2.6,220,269,0.9665,Budget
Hotel Masala Twist,Mumbai,Colaba,"Street Food, Cafe, Continental",Dessert Parlour,Yes,No,3.6,511,351,1.0256,Affordable
Chaat Junction,Mumbai,Powai,Fast Food,Bakery,Yes,Yes,3.1,494,141,2.1986,Budget
Burger Barn,Mumbai,Juhu,Thai,Dessert Parlour,Yes,No,3.8,466,195,1.9487,Budget
Grill House,Mumbai,Powai,Fast Food,Quick Bites,Yes,No,3.6,784,597,0.603,Affordable
Royal Pizza Palace,Mumbai,Bandra,"Continental, Gujarati, Street Food",Bakery,Yes,No,3.9,594,357,1.0924,Affordable
Cafe Fusion Bites,Mumbai,Juhu,Pizza,Bakery,No,No,2.8,90,316,0.8861,Affordable
Royal Momo Point,Mumbai,Colaba,"Chinese, Cafe, Seafood",Food Court,Yes,No,4.2,511,366,1.1475,Affordable
Tiffin Box,Mumbai,Juhu,Bengali,Fine Dining,Yes,No,4.4,416,1910,0.2304,Premium
Food Hub,Mumbai,Powai,"Seafood, Gujarati",Fine Dining,Yes,No,4.0,494,3150,0.127,Luxury
Hotel Burger Barn,Mumbai,Andheri,"Continental, South Indian, Gujarati",Food Court,No,No,2.5,320,518,0.4826,Affordable
Shree Cloud Kitchen,Mumbai,Colaba,"Rajasthani, Desserts, Italian",Dessert Parlour,No,No,2.7,226,326,0.8282,Affordable
Royal Spice Garden,Mumbai,Andheri,Punjabi,Food Court,No,Yes,3.9,148,306,1.2745,Affordable
New Sweet Tooth,Mumbai,Bandra,South Indian,Delivery,Yes,No,4.3,213,460,0.9348,Affordable
Aroma Restaurant,Mumbai,Bandra,Beverages,Quick Bites,Yes,No,4.4,610,342,1.2865,Affordable
Classic Dining,Mumbai,Powai,Seafood,Dessert Parlour,Yes,No,4.1,236,209,1.9617,Budget
Noodle Box,Mumbai,Powai,"North Indian, Gujarati, Biryani",Quick Bites,Yes,No,2.5,632,229,1.0917,Budget
Tiffin Box,Mumbai,Colaba,"Italian, Mughlai",Food Court,Yes,No,4.1,608,303,1.3531,Affordable
Curry Leaf,Mumbai,Andheri,"Fast Food, Gujarati",Dessert Parlour,Yes,No,3.8,293,541,0.7024,Affordable
Sweet Tooth,Mumbai,Powai,Cafe,Delivery,Yes,No,2.8,681,113,2.4779,Budget
New Masala Twist,Mumbai,Andheri,"Mexican, Mughlai, Desserts",Quick Bites,No,Yes,3.6,497,501,0.7186,Affordable
Hotel Burger Barn,Mumbai,Juhu,"Fast Food, Gujarati",Cafe,Yes,Yes,4.4,424,1181,0.3726,Premium
Royal Fusion Bites,Mumbai,Bandra,"Street Food, Bengali, Desserts",Delivery,Yes,No,3.4,491,160,2.125,Budget
Restaurant The Hungry Tiger,Mumbai,Powai,Punjabi,Bakery,Yes,No,3.6,65,311,1.1576,Affordable
The Spice Garden,Mumbai,Powai,Desserts,Bakery,No,Yes,2.7,656,270,1.0,Budget
Sweet Tooth,Mumbai,Powai,Pizza,Dessert Parlour,Yes,Yes,4.1,100,499,0.8216,Affordable
The Urban Kitchen,Mumbai,Bandra,"North Indian, South Indian",Bakery,Yes,No,4.4,339,556,0.7914,Affordable
Dhaba Express,Mumbai,Colaba,Beverages,Delivery,Yes,Yes,3.5,181,256,1.3672,Budget
Cafe Curry Leaf,Mumbai,Bandra,"Biryani, Desserts",Food Court,No,No,3.8,423,184,2.0652,Budget
Royal Food Hub,Mumbai,Bandra,Beverages,Cafe,No,No,3.8,573,1055,0.3602,Premium
The Masala Twist,Mumbai,Powai,Fast Food,Quick Bites,Yes,No,3.6,728,342,1.0526,Affordable
Shree Curry Leaf,Mumbai,Colaba,"Punjabi, Italian, Biryani",Casual Dining,Yes,No,4.0,291,1032,0.3876,Premium
Shree The Hungry Tiger,Mumbai,Andheri,"Punjabi, Mughlai",Delivery,Yes,No,2.8,518,380,0.7368,Affordable
Hotel Saffron,Mumbai,Andheri,Chinese,Quick Bites,No,No,3.8,102,176,2.1591,Budget
Aroma Restaurant,Mumbai,Bandra,"Italian, Rajasthani",Bakery,Yes,No,4.2,307,536,0.7836,Affordable
Hotel Kebab King,Mumbai,Juhu,North Indian,Casual Dining,No,No,3.5,946,766,0.4569,Mid-Range
Cafe Biryani House,Mumbai,Andheri,Seafood,Cafe,Yes,No,4.5,1029,1106,0.4069,Premium
Fusion Bites,Mumbai,Bandra,Fast Food,Quick Bites,Yes,No,4.1,458,447,0.9172,Affordable
New Cloud Kitchen,Mumbai,Colaba,"Gujarati, Fast Food",Cafe,No,No,3.8,693,1070,0.3551,Premium
Pizza Palace,Mumbai,Colaba,"Desserts, Punjabi, Mexican",Delivery,No,No,3.4,264,472,0.7203,Affordable
Saffron,Mumbai,Bandra,Pizza,Quick Bites,Yes,No,3.5,86,184,1.9022,Budget
Shree Aroma Restaurant,Mumbai,Bandra,"Seafood, Cafe, Continental",Delivery,Yes,No,3.6,520,145,2.4828,Budget
New Curry Leaf,Mumbai,Powai,"Bengali, South Indian",Casual Dining,Yes,Yes,3.3,1317,1018,0.3242,Premium
Shree Biryani House,Mumbai,Bandra,"South Indian, Continental",Food Court,No,No,4.0,494,407,0.9828,Affordable
Cafe Chaat Junction,Mumbai,Andheri,Desserts,Delivery,Yes,No,4.1,544,380,1.0789,Affordable
Biryani House,Mumbai,Powai,Italian,Fine Dining,Yes,Yes,4.8,641,3109,0.1544,Luxury
New Noodle Box,Mumbai,Colaba,"Mexican, Fast Food, Rajasthani",Quick Bites,Yes,No,3.8,520,593,0.6408,Affordable
Noodle Box,Mumbai,Colaba,"Pizza, Mexican, Cafe",Bakery,No,Yes,3.3,630,407,0.8108,Affordable
Flavor Town,Mumbai,Colaba,"Seafood, Desserts",Delivery,No,No,2.8,626,311,0.9003,Affordable
Cafe Grill House,Mumbai,Colaba,"Thai, Mughlai, Mexican",Food Court,Yes,No,3.9,698,571,0.683,Affordable
Noodle Box,Mumbai,Bandra,"Fast Food, Beverages, Thai",Food Court,Yes,No,3.8,700,313,1.2141,Affordable
Cafe Food Hub,Mumbai,Juhu,Seafood,Casual Dining,Yes,No,3.5,379,1168,0.2997,Premium
Restaurant Grill House,Mumbai,Juhu,"South Indian, Beverages, Rajasthani",Delivery,Yes,No,4.0,239,542,0.738,Affordable
Royal Cloud Kitchen,Mumbai,Powai,"Seafood, Bengali",Quick Bites,No,No,3.8,65,382,0.9948,Affordable
Hotel Dosa Corner,Mumbai,Andheri,"Beverages, Mexican, Thai",Delivery,No,Yes,3.9,311,199,1.9598,Budget
Cafe Food Hub,Mumbai,Andheri,"South Indian, Bengali",Casual Dining,Yes,Yes,3.4,61,661,0.5144,Mid-Range
New Taste of India,Mumbai,Colaba,"South Indian, Street Food, Gujarati",Food Court,No,No,2.6,335,462,0.5628,Affordable
Royal Grill House,Mumbai,Powai,"Thai, Cafe",Cafe,Yes,No,4.5,729,1079,0.4171,Premium
Sweet Tooth,Mumbai,Bandra,Beverages,Quick Bites,Yes,No,3.7,259,418,0.8852,Affordable
Classic Dining,Mumbai,Andheri,"Thai, Street Food",Fine Dining,Yes,No,4.6,1844,3606,0.1276,Luxury
Restaurant Urban Kitchen,Mumbai,Powai,"Chinese, Fast Food, Pizza",Food Court,No,No,3.6,77,420,0.8571,Affordable
Cafe Spice Garden,Mumbai,Powai,Thai,Casual Dining,No,No,4.3,1374,845,0.5089,Mid-Range
Sweet Tooth,Mumbai,Powai,Chinese,Food Court,Yes,Yes,3.0,598,136,2.2059,Budget
Hotel Kebab King,Mumbai,Colaba,"Desserts, North Indian",Fine Dining,Yes,Yes,3.8,1748,1759,0.216,Premium
Cafe Aroma Restaurant,Mumbai,Powai,"Street Food, Chinese",Casual Dining,Yes,No,3.8,113,1076,0.3532,Premium
Tiffin Box,Mumbai,Colaba,"Biryani, Street Food, Beverages",Dessert Parlour,No,Yes,3.8,136,172,2.2093,Budget
Curry Leaf,Mumbai,Bandra,"Mughlai, Beverages",Casual Dining,Yes,No,4.5,379,545,0.8257,Affordable
Shree The Hungry Tiger,Mumbai,Juhu,"Mexican, South Indian, Thai",Cafe,Yes,No,3.6,563,468,0.7692,Affordable
Royal Pizza Palace,Mumbai,Colaba,"Continental, Fast Food, Street Food",Cafe,Yes,No,3.7,722,861,0.4297,Mid-Range
Cafe Urban Kitchen,Mumbai,Juhu,"Bengali, Pizza",Food Court,Yes,Yes,2.9,666,478,0.6067,Affordable
Cafe Tiffin Box,Mumbai,Andheri,"Rajasthani, Beverages",Bakery,No,No,2.7,631,430,0.6279,Affordable
The Tiffin Box,Mumbai,Juhu,"Chinese, Cafe, North Indian",Dessert Parlour,No,No,4.1,424,396,1.0354,Affordable
Kebab King,Mumbai,Colaba,"Biryani, Beverages, Seafood",Bakery,Yes,No,4.0,147,248,1.6129,Budget
Shree Kebab King,Mumbai,Bandra,"Continental, Pizza, Punjabi",Quick Bites,Yes,Yes,3.6,685,389,0.9254,Affordable
The Food Hub,Mumbai,Juhu,"Continental, Chinese",Delivery,Yes,Yes,3.8,379,365,1.0411,Affordable
Hotel Grill House,Mumbai,Juhu,"Punjabi, Italian, Mexican",Casual Dining,Yes,No,3.8,798,787,0.4828,Mid-Range
Shree Dosa Corner,Mumbai,Andheri,Punjabi,Fine Dining,Yes,No,3.8,1437,3474,0.1094,Luxury
Hotel Chaat Junction,Mumbai,Powai,"Italian, Mughlai, Biryani",Casual Dining,Yes,No,4.3,1403,521,0.8253,Affordable
New Food Hub,Mumbai,Colaba,Mexican,Bakery,Yes,No,2.5,140,122,2.0492,Budget
Taste of India,Mumbai,Andheri,Pizza,Cafe,Yes,Yes,4.6,1204,1013,0.4541,Premium
Dosa Corner,Mumbai,Juhu,"Gujarati, Cafe, Pizza",Bakery,Yes,No,2.8,795,398,0.7035,Affordable
Royal Biryani House,Mumbai,Andheri,"Mexican, Chinese, Continental",Bakery,Yes,Yes,2.5,526,367,0.6812,Affordable
Grill House,Mumbai,Powai,"Cafe, South Indian, Thai",Bakery,Yes,Yes,3.5,511,166,2.1084,Budget
Royal Biryani House,Mumbai,Powai,Punjabi,Food Court,Yes,No,3.5,400,493,0.7099,Affordable
The Momo Point,Mumbai,Colaba,"Gujarati, Continental",Cafe,No,Yes,4.1,511,956,0.4289,Mid-Range
New Noodle Box,Mumbai,Colaba,"North Indian, Seafood, Mughlai",Casual Dining,No,No,3.7,922,558,0.6631,Affordable
Momo Point,Delhi,Karol Bagh,"Italian, Seafood, Mughlai",Food Court,Yes,No,3.5,582,289,1.2111,Budget
New Fusion Bites,Delhi,Connaught Place,"Biryani, Fast Food, Continental",Fine Dining,Yes,No,4.0,1241,2378,0.1682,Luxury
Royal Food Hub,Delhi,Saket,"North Indian, Chinese",Cafe,No,No,4.1,181,490,0.8367,Affordable
New Masala Twist,Delhi,Lajpat Nagar,"Punjabi, Street Food, South Indian",Fine Dining,No,No,4.5,221,3298,0.1364,Luxury
Cloud Kitchen,Delhi,Saket,"Punjabi, Cafe, Continental",Quick Bites,Yes,No,3.2,10,435,0.7356,Affordable
Royal Kebab King,Delhi,Karol Bagh,"Seafood, Cafe, Mughlai",Food Court,Yes,No,2.6,572,146,1.7808,Budget
New Taste of India,Delhi,Dwarka,Cafe,Dessert Parlour,No,No,3.3,277,102,3.2353,Budget
Royal Chaat Junction,Delhi,Lajpat Nagar,"Fast Food, Punjabi",Dessert Parlour,No,No,4.1,266,394,1.0406,Affordable
Restaurant The Hungry Tiger,Delhi,Saket,"Rajasthani, Mexican",Food Court,No,No,3.0,658,295,1.0169,Budget
Shree The Hungry Tiger,Delhi,Karol Bagh,"Thai, North Indian, Italian",Food Court,Yes,Yes,3.8,360,520,0.7308,Affordable
Restaurant Fusion Bites,Delhi,Karol Bagh,"Italian, Pizza, Mughlai",Delivery,Yes,Yes,4.0,281,546,0.7326,Affordable
The Chaat Junction,Delhi,Karol Bagh,Fast Food,Cafe,No,No,4.2,63,1028,0.4086,Premium
The Grill House,Delhi,Saket,"Mexican, Italian",Food Court,Yes,No,4.3,417,243,1.7695,Budget
The Spice Garden,Delhi,Lajpat Nagar,"South Indian, Punjabi, Beverages",Bakery,Yes,No,2.8,133,599,0.4674,Affordable
Dosa Corner,Delhi,Saket,"Fast Food, Desserts, Beverages",Fine Dining,Yes,Yes,4.4,751,2471,0.1781,Luxury
Royal Urban Kitchen,Delhi,Lajpat Nagar,Bengali,Fine Dining,No,No,4.7,1123,2645,0.1777,Luxury
Chaat Junction,Delhi,Lajpat Nagar,"Italian, Continental, Thai",Casual Dining,Yes,No,3.4,511,1156,0.2941,Premium
Shree Classic Dining,Delhi,Connaught Place,"Street Food, Italian",Food Court,Yes,No,3.3,177,453,0.7285,Affordable
Royal Curry Leaf,Delhi,Dwarka,"Desserts, Italian, Beverages",Bakery,Yes,No,4.1,30,276,1.4855,Budget
Cafe Dosa Corner,Delhi,Karol Bagh,"Beverages, Desserts",Cafe,No,No,4.3,830,480,0.8958,Affordable
Fusion Bites,Delhi,Saket,"Cafe, Mexican, Seafood",Fine Dining,No,Yes,4.0,842,2434,0.1643,Luxury
Aroma Restaurant,Delhi,Connaught Place,"Beverages, Mexican",Dessert Parlour,Yes,No,2.8,33,537,0.5214,Affordable
Hotel Biryani House,Delhi,Karol Bagh,Seafood,Delivery,Yes,Yes,3.8,65,380,1.0,Affordable
The Food Hub,Delhi,Karol Bagh,Seafood,Cafe,Yes,Yes,3.6,308,1041,0.3458,Premium
Shree Classic Dining,Delhi,Dwarka,"Rajasthani, Thai",Food Court,No,No,2.8,724,585,0.4786,Affordable
The Spice Garden,Delhi,Dwarka,"Thai, Street Food, Beverages",Fine Dining,Yes,Yes,3.9,949,2761,0.1413,Luxury
Fusion Bites,Delhi,Lajpat Nagar,"Street Food, Gujarati",Cafe,Yes,No,3.9,1027,1173,0.3325,Premium
Restaurant Saffron,Delhi,Connaught Place,"Beverages, Mughlai, Bengali",Quick Bites,No,No,3.0,764,466,0.6438,Affordable
Biryani House,Delhi,Saket,"Continental, Punjabi, Italian",Fine Dining,Yes,No,4.7,585,3191,0.1473,Luxury
Pizza Palace,Delhi,Saket,"Cafe, Gujarati",Bakery,Yes,Yes,2.6,32,373,0.6971,Affordable
The The Hungry Tiger,Delhi,Connaught Place,Chinese,Quick Bites,Yes,No,3.2,520,259,1.2355,Budget
Hotel Cloud Kitchen,Delhi,Lajpat Nagar,Italian,Cafe,No,Yes,3.9,562,596,0.6544,Affordable
Dosa Corner,Delhi,Connaught Place,"Continental, South Indian",Fine Dining,Yes,No,3.9,1168,2353,0.1657,Luxury
The Dosa Corner,Delhi,Karol Bagh,"Gujarati, Street Food",Casual Dining,Yes,No,4.5,281,623,0.7223,Mid-Range
Restaurant Dosa Corner,Delhi,Saket,"Continental, North Indian",Casual Dining,No,No,4.2,1271,1104,0.3804,Premium
New Classic Dining,Delhi,Karol Bagh,"Cafe, Desserts, South Indian",Casual Dining,Yes,No,4.3,307,509,0.8448,Affordable
Shree Curry Leaf,Delhi,Dwarka,"Mughlai, North Indian, Seafood",Bakery,Yes,Yes,4.3,733,348,1.2356,Affordable
Saffron,Delhi,Dwarka,"Beverages, Desserts, Rajasthani",Cafe,Yes,No,4.6,378,967,0.4757,Mid-Range
Hotel Urban Kitchen,Delhi,Dwarka,"North Indian, Punjabi",Food Court,Yes,Yes,2.5,382,538,0.4647,Affordable
Hotel Grill House,Delhi,Connaught Place,Punjabi,Fine Dining,No,No,4.0,860,2659,0.1504,Luxury
Shree Grill House,Delhi,Dwarka,Pizza,Quick Bites,No,Yes,3.5,42,150,2.3333,Budget
Hotel Dhaba Express,Delhi,Connaught Place,Beverages,Dessert Parlour,Yes,No,2.5,223,571,0.4378,Affordable
New Biryani House,Delhi,Connaught Place,"Bengali, Beverages, South Indian",Food Court,No,Yes,2.6,321,136,1.9118,Budget
Hotel Cloud Kitchen,Delhi,Dwarka,"Seafood, Mughlai, Mexican",Delivery,Yes,Yes,3.8,581,191,1.9895,Budget
Shree Kebab King,Delhi,Karol Bagh,"Rajasthani, Bengali, Fast Food",Food Court,Yes,Yes,3.3,683,272,1.2132,Budget
Kebab King,Delhi,Saket,"Bengali, Cafe",Food Court,No,No,3.0,229,379,0.7916,Affordable
Restaurant The Hungry Tiger,Delhi,Connaught Place,"North Indian, South Indian",Bakery,No,No,3.8,319,555,0.6847,Affordable
Masala Twist,Delhi,Connaught Place,"Punjabi, Thai, Biryani",Dessert Parlour,Yes,No,2.8,385,235,1.1915,Budget
Food Hub,Delhi,Dwarka,"Mughlai, Chinese, Desserts",Fine Dining,No,Yes,4.7,1878,3860,0.1218,Luxury
Restaurant Aroma Restaurant,Delhi,Dwarka,South Indian,Fine Dining,No,No,4.8,1053,3278,0.1464,Luxury
Dhaba Express,Delhi,Dwarka,"Seafood, South Indian, Street Food",Quick Bites,Yes,No,3.6,524,267,1.3483,Budget
Saffron,Delhi,Connaught Place,Bengali,Casual Dining,Yes,No,3.4,1024,484,0.7025,Affordable
New Burger Barn,Delhi,Lajpat Nagar,"Bengali, Biryani, Mexican",Fine Dining,Yes,Yes,4.2,601,3840,0.1094,Luxury
Fusion Bites,Delhi,Connaught Place,"Bengali, Desserts",Casual Dining,No,No,3.4,917,823,0.4131,Mid-Range
Restaurant Urban Kitchen,Delhi,Karol Bagh,Beverages,Dessert Parlour,Yes,No,3.8,461,174,2.1839,Budget
Dhaba Express,Delhi,Saket,"Chinese, Fast Food, South Indian",Cafe,Yes,No,3.4,78,694,0.4899,Mid-Range
The Sweet Tooth,Delhi,Dwarka,"Mughlai, Thai",Quick Bites,Yes,No,4.0,504,380,1.0526,Affordable
Urban Kitchen,Delhi,Karol Bagh,"Pizza, South Indian",Quick Bites,Yes,No,3.7,511,127,2.9134,Budget
Chaat Junction,Delhi,Dwarka,North Indian,Food Court,Yes,No,3.3,530,294,1.1224,Budget
Chaat Junction,Delhi,Saket,Mughlai,Casual Dining,Yes,No,4.6,131,422,1.09,Affordable
Spice Garden,Delhi,Dwarka,Beverages,Cafe,No,No,3.7,614,913,0.4053,Mid-Range
Restaurant Noodle Box,Delhi,Lajpat Nagar,Biryani,Dessert Parlour,Yes,No,2.8,401,473,0.592,Affordable
Cafe Masala Twist,Delhi,Dwarka,"Street Food, Desserts",Cafe,Yes,Yes,4.2,1158,994,0.4225,Mid-Range
Cafe Aroma Restaurant,Delhi,Connaught Place,"Biryani, Mexican",Cafe,No,No,4.0,292,1136,0.3521,Premium
Hotel Pizza Palace,Delhi,Lajpat Nagar,"Bengali, Street Food",Food Court,Yes,No,4.3,766,577,0.7452,Affordable
Royal Chaat Junction,Delhi,Karol Bagh,"Cafe, Italian, Continental",Quick Bites,Yes,Yes,2.6,714,140,1.8571,Budget
Restaurant Aroma Restaurant,Delhi,Lajpat Nagar,"Gujarati, Cafe",Cafe,Yes,Yes,3.2,80,1182,0.2707,Premium
Restaurant Noodle Box,Delhi,Saket,Pizza,Delivery,No,No,4.2,714,350,1.2,Affordable
New Biryani House,Delhi,Saket,"Seafood, Desserts, Cafe",Quick Bites,Yes,No,3.7,666,368,1.0054,Affordable
The Curry Leaf,Delhi,Karol Bagh,Continental,Bakery,Yes,No,4.0,406,385,1.039,Affordable
Shree Taste of India,Delhi,Dwarka,"Street Food, Cafe",Bakery,Yes,No,3.7,716,127,2.9134,Budget
Royal Flavor Town,Delhi,Lajpat Nagar,Mexican,Casual Dining,No,No,3.4,712,823,0.4131,Mid-Range
Shree Classic Dining,Delhi,Karol Bagh,Italian,Bakery,Yes,No,3.9,745,183,2.1311,Budget
Cafe Pizza Palace,Delhi,Lajpat Nagar,"Seafood, Punjabi, Pizza",Casual Dining,Yes,No,4.4,1208,743,0.5922,Mid-Range
The Fusion Bites,Delhi,Karol Bagh,"Street Food, Cafe",Quick Bites,No,No,3.1,130,192,1.6146,Budget
Dhaba Express,Delhi,Connaught Place,"Gujarati, Cafe",Quick Bites,Yes,Yes,4.3,232,221,1.9457,Budget
Food Hub,Delhi,Lajpat Nagar,Thai,Quick Bites,Yes,No,4.1,60,206,1.9903,Budget
Royal Momo Point,Delhi,Dwarka,"Mexican, Street Food, Desserts",Quick Bites,No,Yes,3.3,175,191,1.7277,Budget
New Taste of India,Delhi,Karol Bagh,"Mexican, Beverages",Cafe,No,Yes,3.6,826,777,0.4633,Mid-Range
Hotel Momo Point,Delhi,Dwarka,Fast Food,Bakery,No,Yes,3.6,224,368,0.9783,Affordable
Royal Chaat Junction,Delhi,Dwarka,"Cafe, Street Food",Casual Dining,Yes,No,3.6,1326,988,0.3644,Mid-Range
Restaurant Fusion Bites,Delhi,Saket,"Pizza, Continental",Bakery,No,No,2.5,486,112,2.2321,Budget
Masala Twist,Delhi,Dwarka,Desserts,Fine Dining,Yes,No,4.0,1613,2324,0.1721,Luxury
Urban Kitchen,Delhi,Saket,Fast Food,Food Court,No,No,3.9,39,415,0.9398,Affordable
The Grill House,Delhi,Karol Bagh,Biryani,Bakery,Yes,No,4.3,353,374,1.1497,Affordable
The The Hungry Tiger,Delhi,Saket,"Thai, North Indian, Mughlai",Food Court,Yes,No,4.3,372,507,0.8481,Affordable
Hotel Chaat Junction,Delhi,Lajpat Nagar,"Cafe, Seafood, Pizza",Cafe,Yes,No,4.3,694,1122,0.3832,Premium
The Chaat Junction,Delhi,Dwarka,"Street Food, Mughlai",Food Court,Yes,Yes,3.2,216,119,2.6891,Budget
New Urban Kitchen,Delhi,Lajpat Nagar,Desserts,Cafe,No,No,4.0,720,1194,0.335,Premium
Hotel The Hungry Tiger,Delhi,Saket,"South Indian, Rajasthani, Seafood",Delivery,No,No,2.5,55,577,0.4333,Affordable
Restaurant Curry Leaf,Delhi,Karol Bagh,Punjabi,Quick Bites,No,No,2.5,329,488,0.5123,Affordable
New Kebab King,Delhi,Dwarka,"Desserts, Rajasthani, Fast Food",Dessert Parlour,Yes,Yes,2.7,647,590,0.4576,Affordable
The Chaat Junction,Delhi,Connaught Place,"Biryani, Street Food",Food Court,Yes,Yes,3.1,356,556,0.5576,Affordable
Royal Kebab King,Delhi,Karol Bagh,"South Indian, Chinese",Casual Dining,Yes,Yes,4.1,1339,1006,0.4076,Premium
Shree Biryani House,Delhi,Saket,Thai,Food Court,Yes,No,4.0,144,390,1.0256,Affordable
The Hungry Tiger,Delhi,Saket,"Rajasthani, Gujarati, Continental",Dessert Parlour,No,Yes,4.3,382,232,1.8534,Budget
Cafe Grill House,Delhi,Connaught Place,Chinese,Bakery,Yes,No,3.4,299,187,1.8182,Budget
New Dosa Corner,Delhi,Saket,"Fast Food, Desserts, Thai",Fine Dining,Yes,No,4.4,1409,3141,0.1401,Luxury
Restaurant Dosa Corner,Delhi,Connaught Place,Desserts,Fine Dining,Yes,No,4.3,1361,3283,0.131,Luxury
Royal Biryani House,Delhi,Dwarka,Mexican,Bakery,Yes,No,2.7,190,327,0.8257,Affordable
New Masala Twist,Delhi,Saket,"Gujarati, South Indian",Fine Dining,Yes,No,4.8,1750,1500,0.32,Premium
Flavor Town,Delhi,Karol Bagh,Mughlai,Bakery,No,No,3.6,705,567,0.6349,Affordable
Biryani House,Delhi,Karol Bagh,"North Indian, Punjabi, Seafood",Casual Dining,No,No,3.8,158,962,0.395,Mid-Range
