Restaurant_Name,City,Area,Cuisines,Restaurant_Type,Online_Order,Book_Table,Rating,Votes,Cost_For_Two
The Masala Twist,Mumbai,Bandra,"Seafood, Fast Food, Gujarati",Food Court,No,No,4.0,176.0,215
Fusion Bites,Mumbai,Colaba,"Fast Food, Chinese",Food Court,Yes,No,2.8,570.0,138
New Aroma Restaurant,Mumbai,Colaba,"North Indian, Bengali, Pizza",Bakery,Yes,No,2.6,220.0,269
Hotel Masala Twist,Mumbai,Colaba,"Street Food, Cafe, Continental",Dessert Parlour,Yes,No,3.6,,351
Chaat Junction,Mumbai,Powai,Fast Food,Bakery,Yes,Yes,3.1,494.0,141
Burger Barn,Mumbai,Juhu,Thai,Dessert Parlour,Yes,No,,466.0,195
Grill House,Mumbai,Powai,Fast Food,Quick Bites,Yes,No,3.6,784.0,597
Royal Pizza Palace,Mumbai,Bandra,"Continental, Gujarati, Street Food",Bakery,Yes,No,3.9,594.0,357
Cafe Fusion Bites,Mumbai,Juhu,Pizza,Bakery,No,No,2.8,90.0,316
Royal Momo Point,Mumbai,Colaba,"Chinese, Cafe, Seafood",Food Court,Yes,No,4.2,,366
Tiffin Box,Mumbai,Juhu,Bengali,Fine Dining,Yes,No,4.4,416.0,1910
Food Hub,Mumbai,Powai,"Seafood, Gujarati",Fine Dining,Yes,No,4.0,494.0,3150
Hotel Burger Barn,Mumbai,Andheri,"Continental, South Indian, Gujarati",Food Court,No,No,2.5,320.0,518
Shree Cloud Kitchen,Mumbai,Colaba,"Rajasthani, Desserts, Italian",Dessert Parlour,No,No,2.7,226.0,326
Royal Spice Garden,Mumbai,Andheri,Punjabi,Food Court,No,Yes,3.9,148.0,306
New Sweet Tooth,Mumbai,Bandra,South Indian,Delivery,Yes,No,4.3,213.0,460
Aroma Restaurant,Mumbai,Bandra,Beverages,Quick Bites,Yes,No,4.4,610.0,342
Classic Dining,Mumbai,Powai,Seafood,Dessert Parlour,Yes,No,4.1,236.0,209
Noodle Box,Mumbai,Powai,"North Indian, Gujarati, Biryani",Quick Bites,Yes,No,2.5,632.0,229
Tiffin Box,Mumbai,Colaba,"Italian, Mughlai",Food Court,Yes,No,4.1,608.0,303
Curry Leaf,Mumbai,Andheri,"Fast Food, Gujarati",Dessert Parlour,Yes,No,3.8,293.0,541
Sweet Tooth,Mumbai,Powai,Cafe,Delivery,Yes,No,2.8,681.0,113
New Masala Twist,Mumbai,Andheri,"Mexican, Mughlai, Desserts",Quick Bites,No,Yes,3.6,497.0,501
Hotel Burger Barn,Mumbai,Juhu,"Fast Food, Gujarati",Cafe,Yes,Yes,4.4,424.0,1181
Royal Fusion Bites,Mumbai,Bandra,"Street Food, Bengali, Desserts",Delivery,Yes,No,3.4,491.0,160
Restaurant The Hungry Tiger,Mumbai,Powai,Punjabi,Bakery,Yes,No,3.6,65.0,311
The Spice Garden,Mumbai,Powai,Desserts,Bakery,No,Yes,2.7,656.0,270
Sweet Tooth,Mumbai,Powai,Pizza,Dessert Parlour,Yes,Yes,4.1,100.0,499
The Urban Kitchen,Mumbai,Bandra,"North Indian, South Indian",Bakery,Yes,No,4.4,339.0,556
Dhaba Express,Mumbai,Colaba,Beverages,Delivery,Yes,Yes,3.5,181.0,256
Cafe Curry Leaf,Mumbai,Bandra,"Biryani, Desserts",Food Court,No,No,,423.0,184
Royal Food Hub,Mumbai,Bandra,Beverages,Cafe,No,No,3.8,573.0,1055
The Masala Twist,Mumbai,Powai,Fast Food,Quick Bites,Yes,No,3.6,728.0,342
Shree Curry Leaf,Mumbai,Colaba,"Punjabi, Italian, Biryani",Casual Dining,Yes,No,4.0,291.0,1032
Shree The Hungry Tiger,Mumbai,Andheri,"Punjabi, Mughlai",Delivery,Yes,No,2.8,518.0,380
Hotel Saffron,Mumbai,Andheri,Chinese,Quick Bites,No,No,3.8,102.0,176
Aroma Restaurant,Mumbai,Bandra,"Italian, Rajasthani",Bakery,Yes,No,4.2,307.0,536
Hotel Kebab King,Mumbai,Juhu,North Indian,Casual Dining,No,No,3.5,946.0,766
Cafe Biryani House,Mumbai,Andheri,Seafood,Cafe,Yes,No,4.5,1029.0,1106
Fusion Bites,Mumbai,Bandra,Fast Food,Quick Bites,Yes,No,4.1,458.0,447
New Cloud Kitchen,Mumbai,Colaba,"Gujarati, Fast Food",Cafe,No,No,,693.0,1070
Pizza Palace,Mumbai,Colaba,"Desserts, Punjabi, Mexican",Delivery,No,No,3.4,264.0,472
Saffron,Mumbai,Bandra,Pizza,Quick Bites,Yes,No,3.5,86.0,184
Shree Aroma Restaurant,Mumbai,Bandra,"Seafood, Cafe, Continental",Delivery,Yes,No,3.6,520.0,145
New Curry Leaf,Mumbai,Powai,"Bengali, South Indian",Casual Dining,Yes,Yes,3.3,1317.0,1018
Shree Biryani House,Mumbai,Bandra,"South Indian, Continental",Food Court,No,No,4.0,494.0,407
Cafe Chaat Junction,Mumbai,Andheri,Desserts,Delivery,Yes,No,4.1,544.0,380
Biryani House,Mumbai,Powai,Italian,Fine Dining,Yes,Yes,4.8,641.0,3109
New Noodle Box,Mumbai,Colaba,"Mexican, Fast Food, Rajasthani",Quick Bites,Yes,No,,520.0,593
Noodle Box,Mumbai,Colaba,"Pizza, Mexican, Cafe",Bakery,No,Yes,3.3,630.0,407
Flavor Town,Mumbai,Colaba,"Seafood, Desserts",Delivery,No,No,2.8,626.0,311
Cafe Grill House,Mumbai,Colaba,"Thai, Mughlai, Mexican",Food Court,Yes,No,3.9,698.0,571
Noodle Box,Mumbai,Bandra,"Fast Food, Beverages, Thai",Food Court,Yes,No,3.8,700.0,313
Cafe Food Hub,Mumbai,Juhu,Seafood,Casual Dining,Yes,No,3.5,379.0,1168
Restaurant Grill House,Mumbai,Juhu,"South Indian, Beverages, Rajasthani",Delivery,Yes,No,4.0,239.0,542
Royal Cloud Kitchen,Mumbai,Powai,"Seafood, Bengali",Quick Bites,No,No,,65.0,382
Hotel Dosa Corner,Mumbai,Andheri,"Beverages, Mexican, Thai",Delivery,No,Yes,3.9,311.0,199
Cafe Food Hub,Mumbai,Andheri,"South Indian, Bengali",Casual Dining,Yes,Yes,3.4,61.0,661
New Taste of India,Mumbai,Colaba,"South Indian, Street Food, Gujarati",Food Court,No,No,2.6,335.0,462
Royal Grill House,Mumbai,Powai,"Thai, Cafe",Cafe,Yes,No,4.5,729.0,1079
Sweet Tooth,Mumbai,Bandra,Beverages,Quick Bites,Yes,No,3.7,259.0,418
Classic Dining,Mumbai,Andheri,"Thai, Street Food",Fine Dining,Yes,No,4.6,1844.0,3606
Restaurant Urban Kitchen,Mumbai,Powai,"Chinese, Fast Food, Pizza",Food Court,No,No,3.6,77.0,420
Cafe Spice Garden,Mumbai,Powai,Thai,Casual Dining,No,No,4.3,1374.0,845
Sweet Tooth,Mumbai,Powai,Chinese,Food Court,Yes,Yes,3.0,598.0,136
Hotel Kebab King,Mumbai,Colaba,"Desserts, North Indian",Fine Dining,Yes,Yes,3.8,1748.0,1759
Cafe Aroma Restaurant,Mumbai,Powai,"Street Food, Chinese",Casual Dining,Yes,No,3.8,113.0,1076
Tiffin Box,Mumbai,Colaba,"Biryani, Street Food, Beverages",Dessert Parlour,No,Yes,,136.0,172
Curry Leaf,Mumbai,Bandra,"Mughlai, Beverages",Casual Dining,Yes,No,4.5,379.0,545
Shree The Hungry Tiger,Mumbai,Juhu,"Mexican, South Indian, Thai",Cafe,Yes,No,3.6,563.0,468
Royal Pizza Palace,Mumbai,Colaba,"Continental, Fast Food, Street Food",Cafe,Yes,No,3.7,722.0,861
Cafe Urban Kitchen,Mumbai,Juhu,"Bengali, Pizza",Food Court,Yes,Yes,2.9,666.0,478
Cafe Tiffin Box,Mumbai,Andheri,"Rajasthani, Beverages",Bakery,No,No,2.7,631.0,430
The Tiffin Box,Mumbai,Juhu,"Chinese, Cafe, North Indian",Dessert Parlour,No,No,4.1,424.0,396
Kebab King,Mumbai,Colaba,"Biryani, Beverages, Seafood",Bakery,Yes,No,4.0,147.0,248
Shree Kebab King,Mumbai,Bandra,"Continental, Pizza, Punjabi",Quick Bites,Yes,Yes,3.6,685.0,389
The Food Hub,Mumbai,Juhu,"Continental, Chinese",Delivery,Yes,Yes,3.8,379.0,365
Hotel Grill House,Mumbai,Juhu,"Punjabi, Italian, Mexican",Casual Dining,Yes,No,3.8,798.0,787
Shree Dosa Corner,Mumbai,Andheri,Punjabi,Fine Dining,Yes,No,,1437.0,3474
Hotel Chaat Junction,Mumbai,Powai,"Italian, Mughlai, Biryani",Casual Dining,Yes,No,4.3,1403.0,521
New Food Hub,Mumbai,Colaba,Mexican,Bakery,Yes,No,2.5,140.0,122
Taste of India,Mumbai,Andheri,Pizza,Cafe,Yes,Yes,4.6,1204.0,1013
Dosa Corner,Mumbai,Juhu,"Gujarati, Cafe, Pizza",Bakery,Yes,No,2.8,795.0,398
Royal Biryani House,Mumbai,Andheri,"Mexican, Chinese, Continental",Bakery,Yes,Yes,2.5,526.0,367
Grill House,Mumbai,Powai,"Cafe, South Indian, Thai",Bakery,Yes,Yes,3.5,,166
Royal Biryani House,Mumbai,Powai,Punjabi,Food Court,Yes,No,3.5,400.0,493
The Momo Point,Mumbai,Colaba,"Gujarati, Continental",Cafe,No,Yes,4.1,,956
New Noodle Box,Mumbai,Colaba,"North Indian, Seafood, Mughlai",Casual Dining,No,No,3.7,922.0,558
Momo Point,Delhi,Karol Bagh,"Italian, Seafood, Mughlai",Food Court,Yes,No,3.5,582.0,289
New Fusion Bites,Delhi,Connaught Place,"Biryani, Fast Food, Continental",Fine Dining,Yes,No,4.0,1241.0,2378
Royal Food Hub,Delhi,Saket,"North Indian, Chinese",Cafe,No,No,4.1,181.0,490
New Masala Twist,Delhi,Lajpat Nagar,"Punjabi, Street Food, South Indian",Fine Dining,No,No,4.5,221.0,3298
Cloud Kitchen,Delhi,Saket,"Punjabi, Cafe, Continental",Quick Bites,Yes,No,3.2,10.0,435
Royal Kebab King,Delhi,Karol Bagh,"Seafood, Cafe, Mughlai",Food Court,Yes,No,2.6,572.0,146
New Taste of India,Delhi,Dwarka,Cafe,Dessert Parlour,No,No,3.3,277.0,102
Royal Chaat Junction,Delhi,Lajpat Nagar,"Fast Food, Punjabi",Dessert Parlour,No,No,4.1,266.0,394
Restaurant The Hungry Tiger,Delhi,Saket,"Rajasthani, Mexican",Food Court,No,No,3.0,658.0,295
Shree The Hungry Tiger,Delhi,Karol Bagh,"Thai, North Indian, Italian",Food Court,Yes,Yes,3.8,360.0,520
Restaurant Fusion Bites,Delhi,Karol Bagh,"Italian, Pizza, Mughlai",Delivery,Yes,Yes,4.0,281.0,546
The Chaat Junction,Delhi,Karol Bagh,Fast Food,Cafe,No,No,4.2,63.0,1028
The Grill House,Delhi,Saket,"Mexican, Italian",Food Court,Yes,No,4.3,417.0,243
The Spice Garden,Delhi,Lajpat Nagar,"South Indian, Punjabi, Beverages",Bakery,Yes,No,2.8,133.0,599
Dosa Corner,Delhi,Saket,"Fast Food, Desserts, Beverages",Fine Dining,Yes,Yes,4.4,751.0,2471
Royal Urban Kitchen,Delhi,Lajpat Nagar,Bengali,Fine Dining,No,No,4.7,1123.0,2645
Chaat Junction,Delhi,Lajpat Nagar,"Italian, Continental, Thai",Casual Dining,Yes,No,3.4,,1156
Shree Classic Dining,Delhi,Connaught Place,"Street Food, Italian",Food Court,Yes,No,3.3,177.0,453
Royal Curry Leaf,Delhi,Dwarka,"Desserts, Italian, Beverages",Bakery,Yes,No,4.1,30.0,276
Cafe Dosa Corner,Delhi,Karol Bagh,"Beverages, Desserts",Cafe,No,No,4.3,830.0,480
Fusion Bites,Delhi,Saket,"Cafe, Mexican, Seafood",Fine Dining,No,Yes,4.0,842.0,2434
Aroma Restaurant,Delhi,Connaught Place,"Beverages, Mexican",Dessert Parlour,Yes,No,2.8,33.0,537
Hotel Biryani House,Delhi,Karol Bagh,Seafood,Delivery,Yes,Yes,,65.0,380
The Food Hub,Delhi,Karol Bagh,Seafood,Cafe,Yes,Yes,3.6,308.0,1041
Shree Classic Dining,Delhi,Dwarka,"Rajasthani, Thai",Food Court,No,No,2.8,724.0,585
The Spice Garden,Delhi,Dwarka,"Thai, Street Food, Beverages",Fine Dining,Yes,Yes,3.9,949.0,2761
Fusion Bites,Delhi,Lajpat Nagar,"Street Food, Gujarati",Cafe,Yes,No,3.9,1027.0,1173
Restaurant Saffron,Delhi,Connaught Place,"Beverages, Mughlai, Bengali",Quick Bites,No,No,3.0,764.0,466
Biryani House,Delhi,Saket,"Continental, Punjabi, Italian",Fine Dining,Yes,No,4.7,585.0,3191
Pizza Palace,Delhi,Saket,"Cafe, Gujarati",Bakery,Yes,Yes,2.6,32.0,373
The The Hungry Tiger,Delhi,Connaught Place,Chinese,Quick Bites,Yes,No,3.2,520.0,259
Hotel Cloud Kitchen,Delhi,Lajpat Nagar,Italian,Cafe,No,Yes,3.9,562.0,596
Dosa Corner,Delhi,Connaught Place,"Continental, South Indian",Fine Dining,Yes,No,3.9,1168.0,2353
The Dosa Corner,Delhi,Karol Bagh,"Gujarati, Street Food",Casual Dining,Yes,No,4.5,281.0,623
Restaurant Dosa Corner,Delhi,Saket,"Continental, North Indian",Casual Dining,No,No,4.2,1271.0,1104
New Classic Dining,Delhi,Karol Bagh,"Cafe, Desserts, South Indian",Casual Dining,Yes,No,4.3,307.0,509
Shree Curry Leaf,Delhi,Dwarka,"Mughlai, North Indian, Seafood",Bakery,Yes,Yes,4.3,733.0,348
Saffron,Delhi,Dwarka,"Beverages, Desserts, Rajasthani",Cafe,Yes,No,4.6,378.0,967
Hotel Urban Kitchen,Delhi,Dwarka,"North Indian, Punjabi",Food Court,Yes,Yes,2.5,382.0,538
Hotel Grill House,Delhi,Connaught Place,Punjabi,Fine Dining,No,No,4.0,860.0,2659
Shree Grill House,Delhi,Dwarka,Pizza,Quick Bites,No,Yes,3.5,42.0,150
Hotel Dhaba Express,Delhi,Connaught Place,Beverages,Dessert Parlour,Yes,No,2.5,223.0,571
New Biryani House,Delhi,Connaught Place,"Bengali, Beverages, South Indian",Food Court,No,Yes,2.6,321.0,136
Hotel Cloud Kitchen,Delhi,Dwarka,"Seafood, Mughlai, Mexican",Delivery,Yes,Yes,3.8,581.0,191
Shree Kebab King,Delhi,Karol Bagh,"Rajasthani, Bengali, Fast Food",Food Court,Yes,Yes,3.3,683.0,272
Kebab King,Delhi,Saket,"Bengali, Cafe",Food Court,No,No,3.0,229.0,379
Restaurant The Hungry Tiger,Delhi,Connaught Place,"North Indian, South Indian",Bakery,No,No,,319.0,555
Masala Twist,Delhi,Connaught Place,"Punjabi, Thai, Biryani",Dessert Parlour,Yes,No,2.8,385.0,235
Food Hub,Delhi,Dwarka,"Mughlai, Chinese, Desserts",Fine Dining,No,Yes,4.7,1878.0,3860
Restaurant Aroma Restaurant,Delhi,Dwarka,South Indian,Fine Dining,No,No,4.8,1053.0,3278
Dhaba Express,Delhi,Dwarka,"Seafood, South Indian, Street Food",Quick Bites,Yes,No,3.6,524.0,267
Saffron,Delhi,Connaught Place,Bengali,Casual Dining,Yes,No,3.4,1024.0,484
New Burger Barn,Delhi,Lajpat Nagar,"Bengali, Biryani, Mexican",Fine Dining,Yes,Yes,4.2,601.0,3840
Fusion Bites,Delhi,Connaught Place,"Bengali, Desserts",Casual Dining,No,No,3.4,917.0,823
Restaurant Urban Kitchen,Delhi,Karol Bagh,Beverages,Dessert Parlour,Yes,No,,461.0,174
Dhaba Express,Delhi,Saket,"Chinese, Fast Food, South Indian",Cafe,Yes,No,3.4,78.0,694
The Sweet Tooth,Delhi,Dwarka,"Mughlai, Thai",Quick Bites,Yes,No,4.0,504.0,380
Urban Kitchen,Delhi,Karol Bagh,"Pizza, South Indian",Quick Bites,Yes,No,3.7,,127
Chaat Junction,Delhi,Dwarka,North Indian,Food Court,Yes,No,3.3,530.0,294
Chaat Junction,Delhi,Saket,Mughlai,Casual Dining,Yes,No,4.6,131.0,422
Spice Garden,Delhi,Dwarka,Beverages,Cafe,No,No,3.7,614.0,913
Restaurant Noodle Box,Delhi,Lajpat Nagar,Biryani,Dessert Parlour,Yes,No,2.8,401.0,473
Cafe Masala Twist,Delhi,Dwarka,"Street Food, Desserts",Cafe,Yes,Yes,4.2,1158.0,994
Cafe Aroma Restaurant,Delhi,Connaught Place,"Biryani, Mexican",Cafe,No,No,4.0,292.0,1136
Hotel Pizza Palace,Delhi,Lajpat Nagar,"Bengali, Street Food",Food Court,Yes,No,4.3,766.0,577
Royal Chaat Junction,Delhi,Karol Bagh,"Cafe, Italian, Continental",Quick Bites,Yes,Yes,2.6,714.0,140
Restaurant Aroma Restaurant,Delhi,Lajpat Nagar,"Gujarati, Cafe",Cafe,Yes,Yes,3.2,80.0,1182
Restaurant Noodle Box,Delhi,Saket,Pizza,Delivery,No,No,4.2,714.0,350
New Biryani House,Delhi,Saket,"Seafood, Desserts, Cafe",Quick Bites,Yes,No,3.7,666.0,368
The Curry Leaf,Delhi,Karol Bagh,Continental,Bakery,Yes,No,4.0,406.0,385
Shree Taste of India,Delhi,Dwarka,"Street Food, Cafe",Bakery,Yes,No,3.7,716.0,127
Royal Flavor Town,Delhi,Lajpat Nagar,Mexican,Casual Dining,No,No,3.4,712.0,823
Shree Classic Dining,Delhi,Karol Bagh,Italian,Bakery,Yes,No,3.9,745.0,183
Cafe Pizza Palace,Delhi,Lajpat Nagar,"Seafood, Punjabi, Pizza",Casual Dining,Yes,No,4.4,1208.0,743
The Fusion Bites,Delhi,Karol Bagh,"Street Food, Cafe",Quick Bites,No,No,3.1,130.0,192
Dhaba Express,Delhi,Connaught Place,"Gujarati, Cafe",Quick Bites,Yes,Yes,4.3,232.0,221
Food Hub,Delhi,Lajpat Nagar,Thai,Quick Bites,Yes,No,4.1,60.0,206
Royal Momo Point,Delhi,Dwarka,"Mexican, Street Food, Desserts",Quick Bites,No,Yes,3.3,175.0,191
New Taste of India,Delhi,Karol Bagh,"Mexican, Beverages",Cafe,No,Yes,3.6,826.0,777
Hotel Momo Point,Delhi,Dwarka,Fast Food,Bakery,No,Yes,3.6,224.0,368
Royal Chaat Junction,Delhi,Dwarka,"Cafe, Street Food",Casual Dining,Yes,No,3.6,1326.0,988
Restaurant Fusion Bites,Delhi,Saket,"Pizza, Continental",Bakery,No,No,2.5,486.0,112
Masala Twist,Delhi,Dwarka,Desserts,Fine Dining,Yes,No,4.0,1613.0,2324
Urban Kitchen,Delhi,Saket,Fast Food,Food Court,No,No,3.9,39.0,415
The Grill House,Delhi,Karol Bagh,Biryani,Bakery,Yes,No,4.3,353.0,374
The The Hungry Tiger,Delhi,Saket,"Thai, North Indian, Mughlai",Food Court,Yes,No,4.3,372.0,507
Hotel Chaat Junction,Delhi,Lajpat Nagar,"Cafe, Seafood, Pizza",Cafe,Yes,No,4.3,694.0,1122
The Chaat Junction,Delhi,Dwarka,"Street Food, Mughlai",Food Court,Yes,Yes,3.2,216.0,119
New Urban Kitchen,Delhi,Lajpat Nagar,Desserts,Cafe,No,No,4.0,720.0,1194
Hotel The Hungry Tiger,Delhi,Saket,"South Indian, Rajasthani, Seafood",Delivery,No,No,2.5,55.0,577
Restaurant Curry Leaf,Delhi,Karol Bagh,Punjabi,Quick Bites,No,No,2.5,329.0,488
New Kebab King,Delhi,Dwarka,"Desserts, Rajasthani, Fast Food",Dessert Parlour,Yes,Yes,2.7,647.0,590
The Chaat Junction,Delhi,Connaught Place,"Biryani, Street Food",Food Court,Yes,Yes,3.1,356.0,556
Royal Kebab King,Delhi,Karol Bagh,"South Indian, Chinese",Casual Dining,Yes,Yes,4.1,1339.0,1006
Shree Biryani House,Delhi,Saket,Thai,Food Court,Yes,No,4.0,144.0,390
The Hungry Tiger,Delhi,Saket,"Rajasthani, Gujarati, Continental",Dessert Parlour,No,Yes,4.3,382.0,232
Cafe Grill House,Delhi,Connaught Place,Chinese,Bakery,Yes,No,3.4,299.0,187
New Dosa Corner,Delhi,Saket,"Fast Food, Desserts, Thai",Fine Dining,Yes,No,4.4,1409.0,3141
Restaurant Dosa Corner,Delhi,Connaught Place,Desserts,Fine Dining,Yes,No,4.3,1361.0,3283
Royal Biryani House,Delhi,Dwarka,Mexican,Bakery,Yes,No,2.7,190.0,327
New Masala Twist,Delhi,Saket,"Gujarati, South Indian",Fine Dining,Yes,No,4.8,1750.0,1500
Flavor Town,Delhi,Karol Bagh,Mughlai,Bakery,No,No,3.6,705.0,567
Biryani House,Delhi,Karol Bagh,"North Indian, Punjabi, Seafood",Casual Dining,No,No,,158.0,962
Cafe Chaat Junction,Delhi,Lajpat Nagar,Bengali,Quick Bites,No,No,3.1,425.0,295
Shree Urban Kitchen,Delhi,Saket,"Seafood, Beverages, Bengali",Delivery,Yes,No,3.8,,168
Shree Grill House,Delhi,Saket,Biryani,Cafe,Yes,No,3.9,1287.0,1112
Tiffin Box,Delhi,Dwarka,"Beverages, Continental",Bakery,Yes,No,3.7,758.0,533
New Cloud Kitchen,Delhi,Karol Bagh,South Indian,Food Court,Yes,No,2.7,717.0,346
Royal Masala Twist,Delhi,Dwarka,"Chinese, Punjabi, Cafe",Bakery,Yes,No,3.8,89.0,442
Masala Twist,Delhi,Lajpat Nagar,"Thai, North Indian",Quick Bites,Yes,No,3.4,349.0,475
Royal Spice Garden,Delhi,Karol Bagh,"Cafe, Street Food, Italian",Quick Bites,Yes,No,2.8,682.0,126
The Aroma Restaurant,Delhi,Connaught Place,Biryani,Bakery,Yes,No,3.1,640.0,167
Taste of India,Delhi,Lajpat Nagar,"Biryani, Rajasthani, Beverages",Cafe,No,Yes,4.3,420.0,896
Cloud Kitchen,Delhi,Connaught Place,"Bengali, Seafood",Cafe,Yes,No,4.2,1233.0,615
Chaat Junction,Delhi,Karol Bagh,Rajasthani,Quick Bites,Yes,No,4.0,555.0,485
New Classic Dining,Delhi,Karol Bagh,"Bengali, North Indian, Street Food",Cafe,No,No,4.2,1448.0,942
Royal Cloud Kitchen,Delhi,Lajpat Nagar,"Italian, Desserts, Cafe",Fine Dining,Yes,Yes,4.5,1144.0,3102
Burger Barn,Delhi,Karol Bagh,"Pizza, Desserts, Thai",Food Court,Yes,Yes,2.6,110.0,310
Hotel Taste of India,Delhi,Dwarka,South Indian,Dessert Parlour,Yes,Yes,4.4,232.0,436
Cloud Kitchen,Delhi,Saket,"Mexican, Pizza",Cafe,No,No,3.6,1402.0,878
Shree Taste of India,Delhi,Saket,"Pizza, Chinese",Food Court,Yes,Yes,3.3,274.0,130
Biryani House,Delhi,Connaught Place,"Seafood, Pizza, Gujarati",Delivery,Yes,No,3.4,668.0,414
The Urban Kitchen,Delhi,Saket,Mexican,Casual Dining,No,No,3.2,,909
Hotel Tiffin Box,Delhi,Lajpat Nagar,Desserts,Dessert Parlour,No,No,3.5,799.0,581
Hotel Kebab King,Delhi,Dwarka,"Gujarati, Fast Food",Quick Bites,Yes,No,3.2,320.0,449
Flavor Town,Delhi,Saket,Rajasthani,Food Court,No,Yes,2.9,50.0,383
Restaurant Chaat Junction,Delhi,Saket,"Beverages, Gujarati, Chinese",Casual Dining,No,No,,445.0,436
The Sweet Tooth,Delhi,Connaught Place,"Street Food, Gujarati, Thai",Casual Dining,No,No,4.6,125.0,416
Shree Fusion Bites,Delhi,Connaught Place,"Punjabi, Rajasthani, Thai",Delivery,Yes,No,4.3,763.0,118
Hotel Biryani House,Delhi,Connaught Place,"Biryani, North Indian, Pizza",Delivery,Yes,No,4.1,477.0,149
Royal Tiffin Box,Delhi,Lajpat Nagar,"Cafe, Continental, Chinese",Bakery,No,No,4.1,704.0,477
New Dosa Corner,Delhi,Saket,South Indian,Food Court,Yes,No,2.7,785.0,172
The Dosa Corner,Delhi,Connaught Place,"South Indian, Biryani, Fast Food",Delivery,No,No,3.3,26.0,180
The Fusion Bites,Delhi,Lajpat Nagar,"Gujarati, Biryani",Dessert Parlour,Yes,No,3.5,254.0,310
New Grill House,Delhi,Lajpat Nagar,"Chinese, Street Food, Beverages",Bakery,Yes,No,2.9,107.0,371
The Food Hub,Delhi,Karol Bagh,"Mughlai, Italian, South Indian",Bakery,Yes,No,3.9,495.0,595
New Dosa Corner,Delhi,Lajpat Nagar,Bengali,Dessert Parlour,Yes,No,4.3,54.0,332
Burger Barn,Delhi,Connaught Place,"Punjabi, Fast Food",Quick Bites,Yes,Yes,3.4,343.0,396
The Noodle Box,Delhi,Lajpat Nagar,Fast Food,Food Court,Yes,No,2.9,235.0,556
Royal Food Hub,Delhi,Karol Bagh,"Rajasthani, Pizza, Seafood",Delivery,Yes,No,2.9,286.0,283
Royal Dosa Corner,Delhi,Dwarka,Rajasthani,Cafe,Yes,Yes,3.7,1286.0,702
Aroma Restaurant,Delhi,Lajpat Nagar,Bengali,Delivery,No,No,4.5,494.0,402
The Food Hub,Delhi,Saket,"Bengali, Mexican",Delivery,Yes,No,4.4,597.0,567
The Flavor Town,Delhi,Saket,"Punjabi, Seafood",Quick Bites,Yes,No,4.1,517.0,331
Royal Aroma Restaurant,Delhi,Dwarka,Beverages,Delivery,Yes,No,2.7,695.0,345
Hotel Sweet Tooth,Delhi,Karol Bagh,"Rajasthani, Biryani",Quick Bites,No,No,4.1,651.0,289
The Grill House,Delhi,Karol Bagh,"Bengali, Italian",Quick Bites,No,No,3.7,711.0,206
Restaurant Pizza Palace,Delhi,Karol Bagh,Seafood,Quick Bites,Yes,No,3.2,673.0,189
The Taste of India,Delhi,Karol Bagh,"Fast Food, Gujarati, Mughlai",Delivery,No,No,3.1,283.0,559
Urban Kitchen,Delhi,Connaught Place,"Gujarati, Punjabi",Food Court,Yes,Yes,3.9,555.0,447
Cafe Chaat Junction,Hyderabad,Jubilee Hills,"Chinese, Cafe",Delivery,Yes,Yes,4.4,121.0,139
Curry Leaf,Hyderabad,Banjara Hills,"North Indian, Street Food, Bengali",Delivery,No,No,2.8,440.0,277
New Tiffin Box,Hyderabad,Gachibowli,Punjabi,Quick Bites,Yes,No,3.2,344.0,430
The Pizza Palace,Hyderabad,Hitech City,"Mexican, Biryani",Bakery,No,No,4.1,505.0,216
Cafe Dosa Corner,Hyderabad,Jubilee Hills,"Pizza, Cafe",Dessert Parlour,No,Yes,4.4,735.0,529
Pizza Palace,Hyderabad,Hitech City,Desserts,Casual Dining,Yes,No,3.8,1201.0,610
Cafe Spice Garden,Hyderabad,Hitech City,"Pizza, Thai, Street Food",Bakery,Yes,Yes,4.4,158.0,493
Shree Food Hub,Hyderabad,Jubilee Hills,"Street Food, Mexican",Dessert Parlour,No,No,4.0,462.0,572
New Burger Barn,Hyderabad,Hitech City,"North Indian, Seafood",Casual Dining,Yes,Yes,3.7,162.0,734
Royal Fusion Bites,Hyderabad,Banjara Hills,Chinese,Delivery,Yes,No,3.8,534.0,144
Hotel Curry Leaf,Hyderabad,Gachibowli,"Biryani, Bengali",Food Court,Yes,No,3.1,325.0,279
Cafe Curry Leaf,Hyderabad,Hitech City,"Street Food, Pizza",Fine Dining,No,No,4.3,485.0,3196
Cafe Curry Leaf,Hyderabad,Jubilee Hills,"Desserts, Chinese, Seafood",Bakery,Yes,No,4.3,189.0,312
The Spice Garden,Hyderabad,Jubilee Hills,"Thai, Gujarati",Fine Dining,Yes,No,4.7,1211.0,2744
Chaat Junction,Hyderabad,Banjara Hills,"Gujarati, Fast Food",Dessert Parlour,No,No,3.3,,351
The Saffron,Hyderabad,Jubilee Hills,"Gujarati, Mexican, Bengali",Food Court,No,No,3.5,132.0,455
Food Hub,Hyderabad,Hitech City,Desserts,Quick Bites,Yes,No,3.2,289.0,127
Saffron,Hyderabad,Hitech City,"Chinese, Punjabi, Mughlai",Dessert Parlour,No,Yes,2.7,181.0,485
